features,single accuracy,multi accuracy
100,10,46.6279625,45.8467125,-0.78125
100,20,49.824125,34.970225,-14.8539
100,30,48.14145,39.1502125,-8.9912375
100,40,54.352675,32.1130875,-22.2395875
100,50,56.66666,36.66666,-20.0
100,60,65.0,36.42858,-28.57142
100,70,56.0,38.66666,-17.33334
100,80,40.0,30.0,-10.0
100,90,20.0,20.0,0.0
1000,10,33.3333,33.3333,0.0
1000,20,33.3333,33.3333,0.0
1000,30,50.0,50.0,0.0
1000,40,50.0,50.0,0.0
1000,50,75.0,75.0,0.0
1000,60,50.0,0.0,-50.0
1000,70,50.0,0.0,-50.0
1000,80,0.0,0.0,0.0
1000,90,0.0,0.0,0.0
1100,10,33.3333,33.3333,0.0
1100,20,33.3333,33.3333,0.0
1100,30,50.0,50.0,0.0
1100,40,50.0,50.0,0.0
1100,50,75.0,75.0,0.0
1100,60,50.0,0.0,-50.0
1100,70,50.0,0.0,-50.0
1100,80,0.0,0.0,0.0
1100,90,0.0,0.0,0.0
1200,10,33.3333,33.3333,0.0
1200,20,33.3333,33.3333,0.0
1200,30,50.0,50.0,0.0
1200,40,50.0,50.0,0.0
1200,50,75.0,75.0,0.0
1200,60,50.0,0.0,-50.0
1200,70,50.0,0.0,-50.0
1200,80,0.0,0.0,0.0
1200,90,0.0,0.0,0.0
1300,10,33.3333,33.3333,0.0
1300,20,33.3333,33.3333,0.0
1300,30,50.0,50.0,0.0
1300,40,50.0,50.0,0.0
1300,50,75.0,75.0,0.0
1300,60,50.0,0.0,-50.0
1300,70,50.0,0.0,-50.0
1300,80,0.0,0.0,0.0
1300,90,0.0,0.0,0.0
1400,10,33.3333,33.3333,0.0
1400,20,33.3333,33.3333,0.0
1400,30,50.0,50.0,0.0
1400,40,50.0,50.0,0.0
1400,50,75.0,75.0,0.0
1400,60,50.0,0.0,-50.0
1400,70,50.0,0.0,-50.0
1400,80,0.0,0.0,0.0
1400,90,0.0,0.0,0.0
200,10,46.1279625,45.8467125,-0.28125
200,20,48.9312625,34.970225,-13.9610375
200,30,47.48355,42.2752125,-5.2083375
200,40,53.571425,32.1130875,-21.4583375
200,50,54.44444,36.66666,-17.77778
200,60,52.14286,16.42858,-35.71428
200,70,56.0,14.66666,-41.33334
200,80,40.0,23.33334,-16.66666
200,90,20.0,40.0,20.0
300,10,46.6279625,45.0654625,-1.5625
300,20,46.2527,34.970225,-11.282475
300,30,47.48355,42.2752125,-5.2083375
300,40,53.571425,32.1130875,-21.4583375
300,50,54.44444,36.66666,-17.77778
300,60,52.14286,16.42858,-35.71428
300,70,56.0,14.66666,-41.33334
300,80,40.0,16.66666,-23.33334
300,90,20.0,40.0,20.0
400,10,47.1279625,48.3467125,1.21875
400,20,46.2527,34.970225,-11.282475
400,30,53.73355,43.3168875,-10.4166625
400,40,59.821425,32.1130875,-27.7083375
400,50,57.77778,36.66666,-21.11112
400,60,52.14286,16.42858,-35.71428
400,70,36.0,14.66666,-21.33334
400,80,20.0,16.66666,-3.33334
400,90,20.0,40.0,20.0
500,10,47.1279625,48.3467125,1.21875
500,20,44.79165,34.970225,-9.821425
500,30,53.73355,48.5252125,-5.2083375
500,40,59.821425,43.7202375,-16.1011875
500,50,57.77778,56.66666,-1.11112
500,60,52.14286,16.42858,-35.71428
500,70,36.0,14.66666,-21.33334
500,80,20.0,16.66666,-3.33334
500,90,0.0,40.0,40.0
600,10,47.1279625,48.3467125,1.21875
600,20,44.79165,34.970225,-9.821425
600,30,54.39145,49.5668875,-4.8245625
600,40,59.821425,43.7202375,-16.1011875
600,50,57.77778,56.66666,-1.11112
600,60,42.14286,16.42858,-25.71428
600,70,36.0,14.66666,-21.33334
600,80,20.0,16.66666,-3.33334
600,90,0.0,40.0,40.0
700,10,47.1279625,50.6527666667,3.52480416667
700,20,44.79165,32.7380833333,-12.0535666667
700,30,54.39145,48.3145285714,-6.07692142857
700,40,59.821425,48.5714333333,-11.2499916667
700,50,57.77778,56.66666,-1.11112
700,60,42.14286,16.42858,-25.71428
700,70,36.0,14.66666,-21.33334
700,80,20.0,16.66666,-3.33334
700,90,0.0,40.0,40.0
800,10,47.1279625,51.6944333333,4.56647083333
800,20,43.8987875,32.7380833333,-11.1607041667
800,30,54.39145,53.0336166667,-1.35783333333
800,40,59.821425,48.5714333333,-11.2499916667
800,50,51.1111,56.66666,5.55556
800,60,42.14286,16.42858,-25.71428
800,70,36.0,14.66666,-21.33334
800,80,20.0,16.66666,-3.33334
800,90,0.0,33.3333333333,33.3333333333
900,10,47.1279625,50.6527666667,3.52480416667
900,20,43.8987875,32.7380833333,-11.1607041667
900,30,54.39145,54.4225166667,0.0310666666667
900,40,59.821425,48.28572,-11.535705
900,50,51.1111,56.66666,5.55556
900,60,42.14286,16.42858,-25.71428
900,70,36.0,14.66666,-21.33334
900,80,20.0,12.5,-7.5
900,90,0.0,33.3333333333,33.3333333333
